gene,mean_rpkm,median_rpkm,n_mutated_samples,mut_freq,n_altered,cna_dir,rna_dir,concordance,concordant,expressed,frac_outlier,transcriptomic,cna_burden,genomic,score
DLST,16.771547290640385,15.1293,0,0.0,30.0,0.9333333333333333,-0.005415885416666668,buffered,False,True,0.06403940886699508,0.06403940886699508,0.17721518987341772,0.7294503224718627,0.9399347534062561
EIF2B2,6.247718226600986,5.426,0,0.0,30.0,0.9333333333333333,0.059330000000000035,buffered,False,True,0.06403940886699508,0.06403940886699508,0.17721518987341772,0.7294503224718627,0.9399347534062561
PABPN1,62.338979310344826,61.0109,0,0.0,32.0,0.875,0.09331170634920619,buffered,False,True,0.06403940886699508,0.06403940886699508,0.17721518987341772,0.7294503224718627,0.9399347534062561
RPL36AL,136.49627980295566,127.0877,0,0.0,30.0,0.9333333333333333,0.4534466666666666,concordant_up,True,True,0.06403940886699508,0.06403940886699508,0.17721518987341772,0.7294503224718627,0.9399347534062561
TMED10,35.491107389162565,30.4443,0,0.0,30.0,0.9333333333333333,0.4175882291666666,concordant_up,True,True,0.06403940886699508,0.06403940886699508,0.17721518987341772,0.7294503224718627,0.9399347534062561
LRP10,25.35016059113302,22.9965,0,0.0,32.0,0.875,0.4395875496031747,concordant_up,True,True,0.06403940886699508,0.06403940886699508,0.17721518987341772,0.7294503224718627,0.9399347534062561
ZBTB5,6.238825615763546,5.3912,1,0.006666666666666667,39.0,-0.717948717948718,0.0757281620340444,buffered,False,True,0.059113300492610835,0.059113300492610835,0.17721518987341772,0.9789023310711125,0.9396708885050854
ATF7IP,20.244339408867003,18.1903,2,0.013333333333333334,23.0,-1.0869565217391304,0.35006660225442837,discordant,False,True,0.059113300492610835,0.059113300492610835,0.15822784810126583,0.9712093748682713,0.9394789867587795
CROCC,1.3035330049261087,1.0807,1,0.006666666666666667,34.0,-0.7352941176470589,0.20138315939278928,discordant,False,True,0.059113300492610835,0.059113300492610835,0.15822784810126583,0.9647599376132867,0.9392630972941853
IL27RA,6.300613300492615,4.7653,1,0.006666666666666667,22.0,-0.22727272727272727,0.48219558823529407,discordant,False,True,0.07881773399014778,0.07881773399014778,0.03164556962025317,0.7018294482148126,0.9391911341393206
